,Asset,Open_Time,Open_Price,Direction,Close_Time,Close_Price,Predicted_Return,Position
0,JD,2017-02-09,3333.0,-4.0,2017-02-09,3320.0,-0.0003400000000000035,5332.8
1,JD,2017-02-13,3330.0,-4.0,2017-02-13,3368.0,-0.0003400000000000035,5328.0
2,JD,2017-02-14,3366.0,-4.0,2017-02-14,3363.0,-0.0003400000000000035,5385.6
3,JD,2017-02-15,3350.0,-4.0,2017-02-15,3314.0,-0.0003400000000000035,5360.0
4,JD,2017-02-16,3321.0,-4.0,2017-02-16,3317.0,-0.0003400000000000035,5313.6
5,JD,2017-02-20,3276.0,-4.0,2017-02-20,3284.0,-0.0003400000000000035,5241.6
6,JD,2017-02-21,3288.0,-4.0,2017-02-21,3295.0,-0.0003400000000000035,5260.8
7,JD,2017-02-22,3279.0,-4.0,2017-02-22,3315.0,-0.0003400000000000035,5246.400000000001
8,JD,2017-02-23,3319.0,-4.0,2017-02-23,3294.0,-0.0003400000000000035,5310.400000000001
9,JD,2017-02-27,3352.0,-4.0,2017-02-27,3343.0,-0.0003400000000000035,5363.200000000001
10,JD,2017-02-28,3343.0,-4.0,2017-02-28,3328.0,-0.0003400000000000035,5348.8
11,JD,2017-03-01,3340.0,-4.0,2017-03-01,3330.0,-0.0003400000000000035,5344.0
12,JD,2017-03-02,3340.0,-4.0,2017-03-02,3346.0,-0.0003400000000000035,5344.0
13,JD,2017-03-06,3316.0,-4.0,2017-03-06,3299.0,-0.0003400000000000035,5305.6
14,JD,2017-03-07,3301.0,-4.0,2017-03-07,3258.0,-0.0003400000000000035,5281.6
15,JD,2017-03-08,3240.0,-4.0,2017-03-08,3218.0,-0.0003400000000000035,5184.0
16,JD,2017-03-09,3210.0,-4.0,2017-03-09,3214.0,-0.0003400000000000035,5136.0
17,JD,2017-03-13,3205.0,-4.0,2017-03-13,3221.0,-0.0003400000000000035,5128.0
18,JD,2017-03-14,3220.0,-4.0,2017-03-14,3222.0,-0.0003400000000000035,5152.0
19,JD,2017-03-15,3230.0,-4.0,2017-03-15,3217.0,-0.0003400000000000035,5168.0
20,JD,2017-03-16,3223.0,-4.0,2017-03-16,3163.0,-0.0003400000000000035,5156.8
21,JD,2017-03-20,3182.0,-5.0,2017-03-20,3269.0,-0.0003400000000000035,6364.0
22,JD,2017-03-21,3285.0,-4.0,2017-03-21,3319.0,-0.0003400000000000035,5256.0
23,JD,2017-03-22,3310.0,-4.0,2017-03-22,3294.0,-0.0003400000000000035,5296.0
24,JD,2017-03-23,3294.0,-4.0,2017-03-23,3293.0,-0.0003400000000000035,5270.400000000001
25,JD,2017-03-27,3258.0,-4.0,2017-03-27,3277.0,-0.0003400000000000035,5212.8
26,JD,2017-03-28,3285.0,-4.0,2017-03-28,3220.0,-0.0003400000000000035,5256.0
27,JD,2017-03-29,3226.0,-4.0,2017-03-29,3224.0,-0.0003400000000000035,5161.6
28,JD,2017-03-30,3215.0,-4.0,2017-03-30,3148.0,-0.0003400000000000035,5144.0
29,JD,2017-04-05,3086.0,-5.0,2017-04-05,3057.0,-0.0003400000000000035,6172.0
30,JD,2017-04-06,3060.0,-5.0,2017-04-06,3062.0,-0.0003400000000000035,6120.0
31,JD,2017-04-18,3920.0,-4.0,2017-04-18,3879.0,-0.0003400000000000035,6272.0
32,JD,2017-04-19,3850.0,-4.0,2017-04-19,3759.0,-0.0003400000000000035,6160.0
33,JD,2017-04-20,3755.0,-4.0,2017-04-20,3809.0,-0.0003400000000000035,6008.0
34,JD,2017-04-24,3783.0,-4.0,2017-04-24,3785.0,-0.0003400000000000035,6052.8
35,JD,2017-04-25,3780.0,-4.0,2017-04-25,3851.0,-0.0003400000000000035,6048.0
36,JD,2017-04-26,3858.0,-4.0,2017-04-26,3917.0,-0.0003400000000000035,6172.8
37,JD,2017-04-27,3918.0,-4.0,2017-04-27,3885.0,-0.0003400000000000035,6268.8
38,JD,2017-05-02,3968.0,-4.0,2017-05-02,3928.0,-0.0003400000000000035,6348.8
39,JD,2017-05-03,3920.0,-4.0,2017-05-03,3841.0,-0.0003400000000000035,6272.0
40,JD,2017-05-04,3820.0,-4.0,2017-05-04,3846.0,-0.0003400000000000035,6112.0
41,JD,2017-05-08,3830.0,-4.0,2017-05-08,3638.0,-0.0003400000000000035,6128.0
42,JD,2017-05-09,3630.0,-4.0,2017-05-09,3593.0,-0.0003400000000000035,5808.0
43,JD,2017-05-10,3600.0,-4.0,2017-05-10,3597.0,-0.0003400000000000035,5760.0
44,JD,2017-05-11,3599.0,-4.0,2017-05-11,3620.0,-0.0003400000000000035,5758.400000000001
45,JD,2017-05-15,3570.0,-4.0,2017-05-15,3525.0,-0.0003400000000000035,5712.0
46,JD,2017-05-16,3500.0,-4.0,2017-05-16,3530.0,-0.0003400000000000035,5600.0
47,JD,2017-05-17,3521.0,-4.0,2017-05-17,3505.0,-0.0003400000000000035,5633.6
48,JD,2017-05-18,3498.0,-4.0,2017-05-18,3535.0,-0.0003400000000000035,5596.8
49,JD,2017-05-22,3521.0,-4.0,2017-05-22,3532.0,-0.0003400000000000035,5633.6
50,JD,2017-05-23,3523.0,-4.0,2017-05-23,3518.0,-0.0003400000000000035,5636.8
51,JD,2017-05-24,3515.0,-4.0,2017-05-24,3540.0,-0.0003400000000000035,5624.0
52,JD,2017-05-25,3540.0,-4.0,2017-05-25,3524.0,-0.0003400000000000035,5664.0
53,JD,2017-05-31,3420.0,-4.0,2017-05-31,3376.0,-0.0003400000000000035,5472.0
54,JD,2017-06-01,3400.0,-4.0,2017-06-01,3587.0,-0.0003400000000000035,5440.0
55,JD,2017-06-05,3620.0,4.0,2017-06-05,3564.0,0.008664999999999999,5792.0
56,JD,2017-06-06,3557.0,4.0,2017-06-06,3588.0,0.008664999999999999,5691.200000000001
57,JD,2017-06-07,3588.0,4.0,2017-06-07,3615.0,0.008664999999999999,5740.8
58,JD,2017-06-08,3623.0,4.0,2017-06-08,3677.0,0.008664999999999999,5796.8
59,JD,2017-06-12,3700.0,4.0,2017-06-12,3728.0,0.008664999999999999,5920.0
60,JD,2017-06-13,3718.0,4.0,2017-06-13,3727.0,0.008664999999999999,5948.8
61,JD,2017-06-29,4015.0,3.0,2017-06-29,4019.0,0.008664999999999999,4818.0
62,JD,2017-07-03,3950.0,4.0,2017-07-03,4004.0,0.008664999999999999,6320.0
63,JD,2017-07-04,3970.0,4.0,2017-07-04,3797.0,0.008664999999999999,6352.0
64,JD,2017-07-05,3756.0,4.0,2017-07-05,3788.0,0.00571,6009.6
65,JD,2017-07-06,3800.0,4.0,2017-07-06,3963.0,0.00571,6080.0
66,JD,2017-07-10,3950.0,4.0,2017-07-10,3924.0,0.00571,6320.0
67,JD,2017-07-11,3949.0,4.0,2017-07-11,3967.0,0.00571,6318.400000000001
68,JD,2017-07-12,3960.0,4.0,2017-07-12,3893.0,0.00571,6336.0
69,JD,2017-07-13,3879.0,4.0,2017-07-13,3874.0,0.00571,6206.400000000001
70,JD,2017-07-17,3895.0,4.0,2017-07-17,3941.0,0.00571,6232.0
71,JD,2017-07-18,3955.0,4.0,2017-07-18,3980.0,0.00571,6328.0
72,JD,2017-07-19,4010.0,3.0,2017-07-19,4014.0,0.00571,4812.0
73,JD,2017-07-20,4020.0,3.0,2017-07-20,3972.0,0.00571,4824.0
74,JD,2017-07-24,3948.0,4.0,2017-07-24,3897.0,0.00571,6316.8
75,JD,2017-07-25,3941.0,4.0,2017-07-25,3990.0,0.00571,6305.6
76,JD,2017-07-26,4020.0,3.0,2017-07-26,3949.0,0.00571,4824.0
77,JD,2017-07-27,3970.0,4.0,2017-07-27,3957.0,0.00571,6352.0
78,JD,2017-07-31,4005.0,3.0,2017-07-31,4032.0,0.00571,4806.0
79,JD,2017-08-03,4096.0,3.0,2017-08-03,4088.0,0.00571,4915.2
80,JD,2017-08-07,4298.0,3.0,2017-08-07,4295.0,0.00571,5157.599999999999
81,JD,2017-08-08,4295.0,3.0,2017-08-08,4345.0,0.00571,5154.0
82,JD,2017-08-09,4351.0,3.0,2017-08-09,4461.0,0.00571,5221.2
83,JD,2017-08-21,4496.0,3.0,2017-08-21,4593.0,0.00571,5395.2
84,JD,2017-08-22,4589.0,3.0,2017-08-22,4575.0,0.00571,5506.8
85,JD,2017-08-23,4550.0,3.0,2017-08-23,4412.0,0.00571,5460.0
86,JD,2017-08-24,4424.0,3.0,2017-08-24,4378.0,0.00571,5308.8
87,JD,2017-08-28,4300.0,3.0,2017-08-28,4332.0,0.00571,5160.0
88,JD,2017-08-29,4352.0,3.0,2017-08-29,4337.0,0.00571,5222.4
89,JD,2017-08-30,4359.0,3.0,2017-08-30,4244.0,0.00571,5230.8
90,JD,2017-08-31,4228.0,3.0,2017-08-31,4227.0,0.00571,5073.599999999999
91,JD,2017-09-04,4260.0,3.0,2017-09-04,4263.0,0.00571,5112.0
92,JD,2017-09-05,4285.0,3.0,2017-09-05,4244.0,0.00571,5142.0
93,JD,2017-09-06,4260.0,3.0,2017-09-06,4273.0,0.00571,5112.0
